Churn,Contract,customerID,Dependents,DeviceProtection,gender,InternetService,MultipleLines,Sum of MonthlyCharges,Sum of numAdminTickets,Sum of numTechTickets,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingTV,StreamingMovies,TechSupport,Sum of tenure,Sum of TotalCharges
No,Month-to-month,0096-BXERS,No,No,Female,DSL,Yes,50.35,0,0,No,No,No,Yes,Electronic check,Yes,No,No,No,No,6,314.55
No,Month-to-month,0096-FCPUF,No,No,Male,DSL,Yes,64.5,1,0,No,Yes,Yes,No,Mailed check,Yes,No,No,Yes,No,30,1888.45
No,Month-to-month,0098-BOWSO,No,No internet service,Male,No,No,19.4,0,0,No internet service,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,27,529.8
No,Month-to-month,0106-GHRQR,No,Yes,Male,DSL,Yes,71.4,2,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,No,Yes,No,16,1212.1
No,Month-to-month,0111-KLBQG,Yes,No,Male,Fiber optic,No,93.95,0,0,Yes,No,Yes,Yes,Mailed check,Yes,Yes,Yes,Yes,No,32,2861.45
No,Month-to-month,0112-QAWRZ,Yes,Yes,Male,Fiber optic,Yes,90.8,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No,No,16,1442.2
No,Month-to-month,0114-PEGZZ,No,Yes,Female,Fiber optic,Yes,107.55,1,0,Yes,No,No,No,Electronic check,Yes,No,Yes,Yes,No,33,3645.5
No,Month-to-month,0114-RSRRW,No,No internet service,Female,No,No,19.95,0,0,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,10,187.75
No,Month-to-month,0118-JPNOY,No,No,Female,Fiber optic,No,85.8,0,0,No,Yes,Yes,No,Credit card (automatic),Yes,Yes,Yes,No,No,26,2193.65
No,Month-to-month,0128-MKWSG,Yes,No,Female,DSL,No phone service,45.8,0,0,No,Yes,No,No,Mailed check,No,No,No,Yes,Yes,26,1147
No,Month-to-month,0129-KPTWJ,No,Yes,Male,Fiber optic,No,94.65,3,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,72,6747.35
No,Month-to-month,0130-SXOUN,No,No,Male,Fiber optic,Yes,89.4,0,0,Yes,No,No,No,Credit card (automatic),Yes,No,No,Yes,No,66,5976.9
No,Month-to-month,0139-IVFJG,No,No,Female,Fiber optic,No,90.35,5,0,Yes,Yes,No,Yes,Electronic check,Yes,No,Yes,No,No,2,190.5
No,Month-to-month,0141-YEAYS,No,Yes,Female,Fiber optic,Yes,86.45,0,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,Yes,No,No,No,27,2401.05
No,Month-to-month,0142-GVYSN,No,No internet service,Male,No,No,20.3,0,0,No internet service,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,26,511.25
No,Month-to-month,0147-ESWWR,No,No,Female,Fiber optic,Yes,101.25,0,0,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,Yes,39,3949.15
No,Month-to-month,0168-XZKBB,No,No,Female,Fiber optic,Yes,86.85,1,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,No,19,1564.4
No,Month-to-month,0177-PXBAT,No,Yes,Male,Fiber optic,Yes,109.9,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,Yes,33,3694.7
No,Month-to-month,0178-CIIKR,No,No internet service,Female,No,No,19.95,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,3,58
No,Month-to-month,0178-SZBHO,Yes,No,Male,Fiber optic,Yes,87.2,0,0,Yes,No,No,Yes,Electronic check,Yes,No,Yes,No,No,47,4017.45
No,Month-to-month,0187-QSXOE,No,No,Male,Fiber optic,No,89,3,0,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,7,605.45
No,Month-to-month,0187-WZNAB,Yes,No,Female,Fiber optic,No,74.4,0,0,No,Yes,No,Yes,Mailed check,Yes,No,No,No,No,27,1972.35
No,Month-to-month,0188-GWFLE,No,No internet service,Male,No,No,20.05,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,33.7
No,Month-to-month,0191-ZHSKZ,No,No,Male,DSL,No,74.75,0,0,Yes,Yes,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,30,2111.3
No,Month-to-month,0196-JTUQI,No,No,Female,Fiber optic,Yes,75.2,0,0,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,No,9,633.85
No,Month-to-month,0208-BPQEJ,Yes,No internet service,Female,No,No,19.4,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,12,198.1
No,Month-to-month,0212-ISBBF,No,No,Female,DSL,No phone service,50.35,0,0,Yes,No,Yes,No,Electronic check,No,No,Yes,Yes,No,22,1098.85
No,Month-to-month,0215-BQKGS,No,Yes,Male,Fiber optic,No,84.3,0,0,Yes,Yes,Yes,No,Credit card (automatic),Yes,No,No,No,No,30,2438.6
No,Month-to-month,0221-WMXNQ,No,No,Male,Fiber optic,No,75.35,1,0,No,Yes,No,No,Electronic check,Yes,Yes,No,No,No,4,273.4
No,Month-to-month,0222-CNVPT,No,No,Male,DSL,No phone service,48.8,0,0,No,Yes,Yes,No,Credit card (automatic),No,Yes,Yes,Yes,No,52,2555.05
No,Month-to-month,0224-RLWWD,No,No,Female,DSL,No,44.3,0,0,No,No,Yes,No,Electronic check,Yes,Yes,No,No,No,2,89.3
No,Month-to-month,0225-ZORZP,No,No,Male,Fiber optic,No,84.3,0,0,Yes,No,No,No,Electronic check,Yes,No,No,Yes,No,3,235.05
No,Month-to-month,0228-MAUWC,No,Yes,Male,DSL,Yes,59.55,0,1,No,No,No,No,Electronic check,Yes,No,No,No,Yes,19,1144.6
No,Month-to-month,0237-YFUTL,No,No,Female,Fiber optic,Yes,109.65,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,50,5405.8
No,Month-to-month,0239-OXEXL,No,No,Female,Fiber optic,Yes,84.25,0,0,Yes,Yes,No,No,Mailed check,Yes,No,No,No,No,46,3847.6
No,Month-to-month,0247-SLUJI,Yes,No internet service,Male,No,No,19.7,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,19.7
No,Month-to-month,0248-IPDFW,No,No,Female,DSL,Yes,50.1,0,0,No,No,Yes,No,Electronic check,Yes,No,No,No,No,1,50.1
No,Month-to-month,0257-KXZGU,Yes,Yes,Female,DSL,Yes,62.45,0,0,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,No,No,No,32,2045.55
No,Month-to-month,0258-NOKBL,No,Yes,Male,Fiber optic,No,90.4,0,0,Yes,No,No,No,Electronic check,Yes,No,No,Yes,No,3,268.45
No,Month-to-month,0265-PSUAE,Yes,Yes,Female,Fiber optic,No,100.7,0,0,No,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,16,1522.7
No,Month-to-month,0274-JKUJR,Yes,Yes,Male,DSL,No phone service,58.85,0,0,Yes,Yes,No,Yes,Mailed check,No,No,Yes,Yes,No,7,465.7
No,Month-to-month,0277-BKSQP,Yes,No,Male,DSL,No,54.4,0,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,No,8,475.1
No,Month-to-month,0282-NVSJS,Yes,No,Female,DSL,No phone service,29.3,5,0,No,No,Yes,Yes,Mailed check,No,Yes,No,No,Yes,12,355.9
No,Month-to-month,0285-INHLN,Yes,No,Male,DSL,No,54.75,0,1,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,No,No,27,1510.3
No,Month-to-month,0289-IVARM,No,Yes,Female,DSL,No,60.55,4,0,Yes,Yes,No,No,Electronic check,Yes,No,No,No,No,35,1982.6
No,Month-to-month,0292-WEGCH,Yes,Yes,Female,DSL,Yes,86.2,0,0,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,54,4524.05
No,Month-to-month,0295-QVKPB,No,Yes,Male,DSL,No,63.95,0,0,No,No,Yes,No,Credit card (automatic),Yes,No,Yes,No,Yes,5,318.1
No,Month-to-month,0303-WMMRN,No,No internet service,Male,No,No,19.25,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,5,86.05
No,Month-to-month,0310-VQXAM,No,No internet service,Male,No,No,19.85,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,9,178.8
No,Month-to-month,0311-QYWSS,No,No,Female,DSL,No,49.45,0,0,No,Yes,Yes,No,Electronic check,Yes,No,No,No,No,6,314.6
No,Month-to-month,0314-TKOSI,No,No,Female,DSL,No,55.15,0,0,Yes,Yes,No,No,Mailed check,Yes,No,No,No,No,6,322.9
No,Month-to-month,0315-LVCRK,No,Yes,Male,Fiber optic,No,84.8,0,0,No,No,No,No,Electronic check,Yes,No,No,Yes,No,11,888.75
No,Month-to-month,0319-QZTCO,Yes,No,Female,DSL,No,58.7,0,0,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,No,3,168.6
No,Month-to-month,0347-UBKUZ,No,No internet service,Female,No,No,19.9,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,15,320.45
No,Month-to-month,0356-ERHVT,No,No,Male,DSL,No,45.9,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,11,521.9
No,Month-to-month,0357-NVCRI,Yes,No internet service,Female,No,No,20.05,0,2,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,25,471.7
No,Month-to-month,0365-BZUWY,No,Yes,Male,Fiber optic,Yes,102.55,0,1,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,17,1742.5
No,Month-to-month,0365-GXEZS,No,Yes,Male,Fiber optic,No,78.2,1,0,No,No,No,Yes,Electronic check,Yes,No,No,No,Yes,18,1468.75
No,Month-to-month,0365-TRTPY,No,Yes,Female,Fiber optic,Yes,91.2,0,0,Yes,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,No,37,3382.3
No,Month-to-month,0366-NQSHS,No,No internet service,Male,No,No,19.35,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,46.35
No,Month-to-month,0374-AACSZ,No,No,Female,DSL,No,50.15,0,0,No,Yes,No,No,Electronic check,Yes,No,No,No,No,1,50.15
No,Month-to-month,0374-IOEGQ,No,No,Female,DSL,No,44.6,0,0,No,No,No,No,Electronic check,Yes,No,No,No,No,3,122.7
No,Month-to-month,0376-OIWME,No,No,Male,Fiber optic,No,93.6,0,0,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,36,3366.05
No,Month-to-month,0377-JBKKT,Yes,No,Male,DSL,No,57.95,0,0,Yes,Yes,Yes,Yes,Mailed check,Yes,No,No,No,Yes,22,1271.8
No,Month-to-month,0380-ZCSBI,No,No internet service,Male,No,No,20,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,10,198.7
No,Month-to-month,0384-RVBPI,No,Yes,Male,DSL,No,64.4,1,0,No,Yes,No,No,Credit card (automatic),Yes,No,No,Yes,No,20,1398.6
No,Month-to-month,0396-HUJBP,No,No internet service,Female,No,No,19.3,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,44.4
No,Month-to-month,0396-UKGAI,Yes,No,Male,DSL,No,55.3,0,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,No,No,Yes,23,1284.2
No,Month-to-month,0396-YCHWO,No,No,Male,Fiber optic,Yes,95.4,0,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,36,3474.2
No,Month-to-month,0410-IPFTY,No,No,Female,Fiber optic,No,83.85,0,0,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,Yes,No,31,2674.15
No,Month-to-month,0411-EZJZE,No,No,Female,DSL,Yes,60.25,0,0,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,3,170.5
No,Month-to-month,0419-YAAPX,No,No,Male,Fiber optic,No,85.3,0,0,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,No,49,4297.95
No,Month-to-month,0420-HLGXF,No,Yes,Female,Fiber optic,Yes,99.75,0,0,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,39,4036
No,Month-to-month,0423-UDIJQ,No,No,Male,DSL,No,49.2,0,0,No,No,No,No,Mailed check,Yes,Yes,No,No,Yes,9,447.9
No,Month-to-month,0428-IKYCP,No,Yes,Male,Fiber optic,No,87,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No,No,22,1850.65
No,Month-to-month,0430-IHCDJ,No,No,Male,DSL,Yes,49,0,0,No,No,Yes,No,Electronic check,Yes,No,No,No,No,15,749.25
No,Month-to-month,0432-CAJZV,No,No,Male,Fiber optic,No,90.7,0,0,No,No,No,No,Mailed check,Yes,No,Yes,Yes,No,3,237.65
No,Month-to-month,0434-CSFON,No,Yes,Female,Fiber optic,Yes,100.5,0,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,47,4707.1
No,Month-to-month,0439-IFYUN,No,No,Female,Fiber optic,No,74.7,0,0,Yes,No,Yes,No,Electronic check,Yes,Yes,No,No,No,18,1294.6
No,Month-to-month,0440-QEXBZ,No,No,Female,DSL,Yes,50.15,0,0,No,No,Yes,No,Mailed check,Yes,No,No,No,No,44,2139.1
No,Month-to-month,0447-RXSGD,No,No,Male,Fiber optic,Yes,99.65,0,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,No,24,2404.85
No,Month-to-month,0455-XFASS,Yes,No,Female,Fiber optic,No,69.55,0,0,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,3,200.2
No,Month-to-month,0463-WZZKO,No,No internet service,Male,No,No,20.75,0,0,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,3,67.1
No,Month-to-month,0463-ZSDNT,No,No,Male,DSL,No,56.75,0,0,No,No,Yes,No,Bank transfer (automatic),Yes,No,No,Yes,No,10,503.25
No,Month-to-month,0468-YRPXN,No,Yes,Male,Fiber optic,No,98.8,0,0,No,No,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,Yes,29,2807.1
No,Month-to-month,0480-BIXDE,No,Yes,Female,Fiber optic,No,96.8,3,1,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,19,1743.05
No,Month-to-month,0484-JPBRU,No,No internet service,Male,No,Yes,25.25,4,0,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,41,996.45
No,Month-to-month,0487-RPVUM,No,Yes,Male,Fiber optic,Yes,99.4,0,0,No,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,No,Yes,61,5943.65
No,Month-to-month,0487-VVUVK,Yes,No internet service,Male,No,No,19.15,0,0,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,25,477.6
No,Month-to-month,0491-KAPQG,No,No,Male,Fiber optic,Yes,73.7,0,0,No,No,Yes,No,Electronic check,Yes,No,No,No,No,21,1558.7
No,Month-to-month,0508-OOLTO,Yes,No,Female,Fiber optic,No,71.65,0,0,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,2,135.75
No,Month-to-month,0516-QREYC,No,No internet service,Female,No,No,20.3,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,Yes,No internet service,No internet service,No internet service,24,459.95
No,Month-to-month,0519-DRGTI,Yes,No internet service,Female,No,No,20.35,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,20,442.6
No,Month-to-month,0523-VNGTF,No,Yes,Female,DSL,No phone service,50.5,3,0,Yes,No,Yes,No,Electronic check,No,Yes,Yes,No,Yes,52,2566.3
No,Month-to-month,0531-ZZJWQ,No,No,Male,Fiber optic,Yes,74,0,2,No,No,Yes,Yes,Electronic check,Yes,Yes,No,No,No,55,4052.4
No,Month-to-month,0536-BGFMZ,No,No internet service,Female,No,No,20.5,1,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,28,563.05
No,Month-to-month,0537-QYZZN,Yes,No,Male,Fiber optic,Yes,79.85,5,2,No,Yes,Yes,Yes,Electronic check,Yes,Yes,No,No,No,24,1857.75
No,Month-to-month,0541-FITGH,No,No,Female,DSL,No,62.15,0,0,No,Yes,Yes,Yes,Mailed check,Yes,No,No,Yes,No,2,113.1
No,Month-to-month,0547-HURJB,Yes,No internet service,Male,No,No,21.05,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,12,235.8
No,Month-to-month,0550-DCXLH,No,No,Male,DSL,No,73.35,0,0,Yes,No,No,No,Mailed check,Yes,No,Yes,Yes,Yes,13,931.55
No,Month-to-month,0564-MUUQK,Yes,Yes,Female,Fiber optic,Yes,95.5,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,Yes,Yes,20,1916.2
No,Month-to-month,0567-GGCAC,No,Yes,Female,DSL,No,61.4,4,0,Yes,Yes,No,No,Electronic check,Yes,No,No,No,No,7,438.9
No,Month-to-month,0570-BFQHT,No,Yes,Female,Fiber optic,No,80.55,0,0,Yes,No,No,No,Electronic check,Yes,No,No,No,No,9,653.9
No,Month-to-month,0577-WHMEV,No,Yes,Female,Fiber optic,Yes,90.7,4,0,Yes,Yes,No,Yes,Electronic check,Yes,No,No,No,No,16,1374.9
No,Month-to-month,0581-BXBUB,No,No,Female,Fiber optic,No,72.75,0,0,Yes,No,No,No,Electronic check,Yes,Yes,No,No,No,4,317.75
No,Month-to-month,0581-MDMPW,No,Yes,Female,Fiber optic,Yes,88.95,0,0,No,No,Yes,No,Credit card (automatic),Yes,No,Yes,No,No,24,2072.75
No,Month-to-month,0584-BJQGZ,No,Yes,Female,DSL,Yes,78.35,0,0,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,No,Yes,No,Yes,25,1837.9
No,Month-to-month,0585-EGDDA,No,Yes,Male,Fiber optic,No,80,0,0,Yes,No,Yes,Yes,Electronic check,Yes,No,No,No,No,40,3168.75
No,Month-to-month,0594-UFTUL,Yes,No internet service,Male,No,No,19.85,5,0,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,13,252
No,Month-to-month,0595-ITUDF,Yes,Yes,Male,Fiber optic,Yes,91.8,0,0,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,No,No,64,5960.5
No,Month-to-month,0599-XNYDO,No,No,Female,Fiber optic,No,69.8,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,20,1540.35
No,Month-to-month,0603-OLQDC,Yes,No,Male,DSL,No,69.85,0,0,No,Yes,Yes,No,Mailed check,Yes,No,Yes,Yes,No,12,837.5
No,Month-to-month,0620-DLSLK,No,No,Female,Fiber optic,No,81.9,0,0,No,No,Yes,No,Mailed check,Yes,No,Yes,No,No,13,1028.9
No,Month-to-month,0620-XEFWH,Yes,No internet service,Male,No,No,18.85,5,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,4,84.2
No,Month-to-month,0621-HJWXJ,No,No,Female,Fiber optic,Yes,81.55,1,0,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,63,5029.05
No,Month-to-month,0623-GDISB,No,No,Female,DSL,No,48.45,0,0,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,No,No,No,1,48.45
No,Month-to-month,0641-EVBOJ,No,No,Male,Fiber optic,No,82.3,0,0,No,Yes,Yes,No,Mailed check,Yes,No,No,No,Yes,3,214.4
No,Month-to-month,0644-OQMDK,No,No,Male,Fiber optic,No,70.65,0,0,No,No,Yes,No,Electronic check,Yes,Yes,No,No,No,4,293.85
No,Month-to-month,0650-BWOZN,No,No,Female,Fiber optic,No,73.55,0,0,Yes,No,Yes,No,Electronic check,Yes,Yes,No,No,No,18,1359.45
No,Month-to-month,0655-YDGFJ,No,Yes,Male,DSL,No,48.95,0,0,No,No,No,No,Bank transfer (automatic),Yes,No,No,No,No,29,1323.7
No,Month-to-month,0666-UXTJO,No,Yes,Male,Fiber optic,No,85.2,0,0,No,No,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,No,No,34,2874.45
No,Month-to-month,0668-OGMHD,No,No,Female,DSL,No phone service,28.5,0,0,No,Yes,No,Yes,Electronic check,No,No,No,No,No,21,629.35
No,Month-to-month,0670-KDOMA,No,No internet service,Female,No,No,20.25,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,20.25
No,Month-to-month,0673-IGUQO,No,No internet service,Male,No,No,20.45,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,20.45
No,Month-to-month,0674-DGMAQ,No,Yes,Male,Fiber optic,Yes,93.5,0,0,Yes,No,Yes,Yes,Electronic check,Yes,Yes,No,Yes,No,32,2970.8
No,Month-to-month,0674-EYYZV,No,No,Female,DSL,No,54.65,0,0,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,1,54.65
No,Month-to-month,0682-USIXD,No,No,Female,Fiber optic,No,86.05,0,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,Yes,21,1818.9
No,Month-to-month,0689-DSXGL,Yes,Yes,Female,Fiber optic,No,85.8,2,0,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,No,No,Yes,52,4433.3
No,Month-to-month,0690-SRQID,No,No internet service,Male,No,No,19.65,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,4,67.55
No,Month-to-month,0696-UKTOX,Yes,No,Male,DSL,No,54.15,0,0,Yes,No,No,No,Electronic check,Yes,No,No,No,Yes,23,1312.45
No,Month-to-month,0699-NDKJM,No,Yes,Female,DSL,No phone service,58.75,0,1,Yes,Yes,Yes,Yes,Bank transfer (automatic),No,No,Yes,Yes,No,57,3437.45
No,Month-to-month,0701-RFGFI,Yes,No,Female,Fiber optic,Yes,95.4,4,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,49,4613.95
No,Month-to-month,0701-TJSEF,No,Yes,Male,DSL,No,68.25,0,0,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,No,Yes,Yes,9,576.95
No,Month-to-month,0708-LGSMF,No,No,Male,DSL,Yes,65.85,1,0,No,Yes,Yes,Yes,Electronic check,Yes,No,No,Yes,No,13,902.25
No,Month-to-month,0708-SJDIS,No,No,Female,DSL,Yes,65,0,2,No,No,No,No,Mailed check,Yes,No,Yes,No,Yes,34,2157.5
No,Month-to-month,0722-SVSFK,No,Yes,Female,Fiber optic,No,100.4,2,0,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,7,715
No,Month-to-month,0730-KOAVE,No,No,Male,Fiber optic,Yes,94.3,0,0,Yes,Yes,Yes,No,Credit card (automatic),Yes,No,No,Yes,No,30,2679.7
No,Month-to-month,0734-OXWBT,Yes,No,Male,DSL,No,70.7,0,0,No,No,No,No,Mailed check,Yes,No,Yes,Yes,Yes,3,225.65
No,Month-to-month,0744-GKNGE,Yes,No,Female,Fiber optic,Yes,86.8,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,Yes,64,5327.25
No,Month-to-month,0749-IRGQE,No,No,Female,DSL,No phone service,45.3,0,0,No,No,No,Yes,Electronic check,No,Yes,Yes,Yes,No,13,528.45
No,Month-to-month,0750-EKNGL,No,No internet service,Male,No,No,20.75,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,7,141.1
No,Month-to-month,0771-WLCLA,Yes,Yes,Female,Fiber optic,Yes,112.95,0,0,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,16,1882.55
No,Month-to-month,0774-IFUVM,Yes,No,Male,DSL,Yes,65.15,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No,No,11,723.35
No,Month-to-month,0787-LHDYT,No,No internet service,Male,No,No,20.6,0,0,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,16,330.25
No,Month-to-month,0793-TWELN,No,No,Female,Fiber optic,Yes,80.15,0,0,No,Yes,Yes,No,Electronic check,Yes,No,No,No,No,4,319.85
No,Month-to-month,0799-DDIHE,Yes,No,Female,DSL,No,46.3,0,0,No,No,No,Yes,Electronic check,Yes,No,No,No,No,15,639.45
No,Month-to-month,0804-XBFBV,Yes,No,Female,DSL,No phone service,25.2,0,0,No,No,No,No,Electronic check,No,No,No,No,No,11,321.05
